st,x,y
WA,1,89
WA,7,89
WA,7,91
WA,18.5,91
WA,18.5,77.5
WA,14,77.5
WA,5.5,75.5
WA,5.5,77.5
WA,3,77.5
WA,,
ID,18.5,91
ID,21.5,91
ID,21.5,87.5
ID,29.5,72.5
ID,33.5,72.5
ID,33.5,61.5
ID,18.5,61.5
ID,,
MT,21.5,91
MT,47.5,91
MT,47.5,75.5
MT,33.5,75.5
MT,33.5,72.5
MT,29.5,72.5
MT,21.5,87.5
MT,,
ND,47.5,91
ND,63.5,91
ND,64.5,78.5
ND,47.5,78.5
ND,,
SD,47.5,78.5
SD,64.5,78.5
SD,64.5,65.5
SD,60,66.5
SD,47.5,66.5
SD,,
MI,82.5,91
MI,93,90
MI,98,84
MI,90.5,84
MI,88.5,80
MI,81,84.5
MI,74.5,84
MI,82.5,91
MI,,
MI,94,84
MI,99,79
MI,98,75
MI,101,79
MI,101,71
MI,98,63.5
MI,90,63.5
MI,90,79
MI,94,84
MI,,
VT,135.5,89
VT,141,89
VT,138,74.5
VT,135.5,74.5
VT,,
NH,141,89
NH,142.5,89
NH,145.5,74.5
NH,138,74.5
NH,,
MA,135.5,74.5
MA,145.5,74.5
MA,149,72.5
MA,150,73
MA,152,73
MA,152,66
MA,147.5,65
MA,147.5,69.5
MA,135.5,69.5
MA,,
MD,112.5,55.5
MD,126.5,55.5
MD,126.5,48.5
MD,132.5,48.5
MD,127,43.5
MD,118.5,50.5
MD,112.5,50.5
MD,,
OH,95.5,63.5
OH,103,63.5
OH,109.5,69
OH,109.5,58.5
OH,103.5,48.5
OH,101,48.5
OH,95.5,51
OH,,
PA,109.5,69
PA,112.5,71.5
PA,112.5,69.5
PA,130,69.5
PA,132,67
PA,128.5,64.5
PA,130.5,60
PA,129,58
PA,126.5,55.5
PA,109.5,55.5
PA,,
WV,109.5,58.5
WV,109.5,55.5
WV,112.5,55.5
WV,112.5,50.5
WV,118.5,50.5
WV,111.5,44.5
WV,105.5,44.5
WV,103.5,48.5
WV,,
IN,86.5,63.5
IN,95.5,63.5
IN,95.5,51
IN,88,46.5
IN,86.5,46
IN,86.5,63.5
IN,,
IL,78.5,66.5
IL,84.5,66.5
IL,84.5,63.5
IL,86.5,63.5
IL,86.5,46
IL,83.5,43
IL,77.5,55
IL,77.5,57.5
IL,78.5,59.5
IL,79.5,64
IL,,
MO,68,57.5
MO,77.5,57.5
MO,77.5,55
MO,83.5,43
MO,82.5,38.5
MO,79.5,38.5
MO,79.5,40.5
MO,69.5,40.5
MO,69.5,52
MO,,
KS,53.5,55.5
KS,68.5,55.5
KS,69.5,52
KS,69.5,43.5
KS,53.5,43.5
KS,,
NV,13.5,61.5
NV,26.5,61.5
NV,26.5,39.5
NV,24.5,39.5
NV,13.5,51.5
NV,,
CA,1,61.5
CA,13.5,61.5
CA,13.5,51.5
CA,24.5,39.5
CA,24.5,27
CA,20,27
CA,20,29
CA,12,33
CA,1,55
CA,,
AZ,26.5,43.5
AZ,38.5,43.5
AZ,38.5,23
AZ,32,23
AZ,24.5,27
AZ,24.5,39.5
AZ,26.5,39.5
AZ,,
OK,51.5,43.5
OK,69.5,43.5
OK,69.5,30.5
OK,56.5,34.5
OK,56.5,39.5
OK,51.5,39.5
OK,,
TX,51.5,39.5
TX,56.5,39.5
TX,56.5,34.5
TX,72.5,29.5
TX,72.5,15
TX,67,9
TX,67,2
TX,61,5
TX,57,14
TX,52,14
TX,42.5,24.5
TX,51.5,24.5
TX,,
AL,88.5,34.5
AL,96.5,34.5
AL,98.5,19.5
AL,91.5,19.5
AL,91.5,16
AL,88.5,17
AL,,
NC,106,40.5
NC,127.5,40.5
NC,126.5,37
NC,117,29.5
NC,111.5,34.5
NC,100,34.5
NC,,
AK,9,23
AK,16,20
AK,16,10
AK,13,12
AK,2,5
AK,7,10
AK,4,12
AK,7,15
AK,4,15
AK,4,17
AK,7,16
AK,5,19
AK,,
HI,38,12
HI,41,10
HI,40,5
HI,35,1
HI,32,7
HI,,
HI,35,11
HI,36.5,12.5
HI,34,13
HI,33.5,12.5
HI,,
OR,3,77.5
OR,5.5,77.5
OR,5.5,75.5
OR,14,77.5
OR,18.5,77.5
OR,18.5,61.5
OR,1,61.5
OR,1,67
OR,,
NJ,132,67
NJ,135.5,63
NJ,137,62
NJ,137,54
NJ,132.5,51.5
NJ,129,58
NJ,130.5,60
NJ,128.5,64.5
NJ,,
NY,130,89
NY,135.5,89
NY,135.5,63
NY,132,67
NY,130,69.5
NY,112.5,69.5
NY,112.5,71.5
NY,115,73
NY,115,77
NY,125,77
NY,125,84
NY,,
WY,33.5,75.5
WY,47.5,75.5
WY,47.5,58.5
WY,33.5,58.5
WY,,
UT,26.5,61.5
UT,33.5,61.5
UT,33.5,58.5
UT,38.5,58.5
UT,38.5,43.5
UT,26.5,43.5
UT,,
GA,96.5,34.5
GA,102,34.5
GA,109.5,23.5
GA,108,18.5
GA,98.75,18.5
GA,98.5,19.5
GA,,
FL,91.5,19.5
FL,98.5,19.5
FL,98.75,18.5
FL,108,18.5
FL,112,6
FL,109,1
FL,103,5
FL,102,13
FL,100,16
FL,91.5,16
FL,,
SC,102,34.5
SC,111.5,34.5
SC,117,29.5
SC,118.5,28.5
SC,109.5,23.5
SC,,
VA,118.5,50.5
VA,127,43.5
VA,127.5,43
VA,125,40.5
VA,101,40.5
VA,105.5,44.5
VA,111.5,44.5
VA,,
NE,47.5,66.5
NE,60,66.5
NE,64.5,65.5
NE,65.5,64
NE,68,57.5
NE,68.5,55.5
NE,53.5,55.5
NE,53.5,58.5
NE,47.5,58.5
NE,,
IA,64.5,70.5
IA,76.75,70.5
IA,78.5,66.5
IA,79.5,64
IA,78.5,59.5
IA,77.5,57.5
IA,68,57.5
IA,65.5,64
IA,64.5,65.5
IA,,
ME,147,97
ME,152,93
ME,153,83
ME,145.5,74.5
ME,142.5,89
ME,,
MN,63.5,91
MN,82.5,91
MN,74.5,84
MN,74.5,76
MN,76.75,70.5
MN,64.5,70.5
MN,64.5,78.5
MN,,
WI,74.5,84
WI,81,84.5
WI,88.5,80
WI,85.5,76
WI,85.5,66.5
WI,78.5,66.5
WI,76.75,70.5
WI,74.5,76
WI,,
NM,38.5,43.5
NM,51.5,43.5
NM,51.5,24.5
NM,42.5,24.5
NM,42.5,23
NM,38.5,23
NM,,
AR,69.5,40.5
AR,79.5,40.5
AR,79.5,38.5
AR,82.5,38.5
AR,82,34.5
AR,80.5,27.5
AR,72.5,27.5
AR,72.5,29.5
AR,69.5,30.5
AR,,
TN,83,40.5
TN,106,40.5
TN,100,34.5
TN,82,34.5
TN,82.5,38.5
TN,,
KY,95.5,51
KY,101,48.5
KY,103.5,48.5
KY,105.5,44.5
KY,101,40.5
KY,83,40.5
KY,83.5,43
KY,86.5,46
KY,88,46.5
KY,,
MS,82,34.5
MS,88.5,34.5
MS,88.5,17
MS,84.5,17
MS,83.5,21.5
MS,79.5,22
MS,80.5,27.5
MS,,
LA,72.5,27.5
LA,80.5,27.5
LA,79.5,22
LA,83.5,21.5
LA,84.5,17
LA,85.5,12
LA,72.5,15
LA,,
CT,135.5,69.5
CT,142.5,69.5
CT,142.5,64
CT,137,62
CT,135.5,63
CT,,
DE,129,58
DE,132.5,51.5
DE,132.5,48.5
DE,126.5,48.5
DE,126.5,55.5
DE,,
DC,135,47
DC,140,42
DC,135,36.5
DC,135,40
DC,130.5,43
DC,,
CO,38.5,58.5
CO,53.5,58.5
CO,53.5,43.5
CO,38.5,43.5
CO,,
RI,142.5,69.5
RI,147.5,69.5
RI,147.5,65
RI,142.5,64
RI,,
